Attempt,Algorithm,Length,Time,,,,,,,,,,
22,A*,9,1.00E-05,,,,,,,,,,
22,A*,10,0.00024,,,,,,,,,,
22,A*,11,0.00017,,,,,,,,,,
22,A*,12,6.00E-05,,,,,,,,,,
22,A*,13,1.00E-05,,,,,,,,,,
23,A*,3,6.00E-05,,,,,,,,,,
23,A*,4,0.0002,,,,,,,,,,
23,A*,5,0.00035,,,,,,,,,,
23,A*,6,0.00039,,,,,,,,,,
23,A*,7,0.00018,,,,,,,,,,
23,A*,8,0.00011,,,,,,,,,,
23,A*,9,5.00E-05,,,,,,,,,,
23,A*,10,0.00018,,,,,,,,,,
23,A*,11,0.00149,,,,,,,,,,
23,A*,12,0.00025,,,,,,,,,,
23,A*,13,0.00044,,,,,,,,,,
23,A*,14,0.00023,,,,,,,,,,
23,A*,15,6.00E-05,,,,,,,,,,
23,A*,16,9.00E-05,,,,,,,,,,
23,A*,17,0.00013,,,,,,,,,,
23,A*,18,0.00037,,,,,,,,,,
24,A*,3,7.00E-05,,,,,,,,,,
24,A*,4,0.00028,,,,,,,,,,
24,A*,5,0.00012,,,,,,,,,,
24,A*,6,5.00E-05,,,,,,,,,,
24,A*,7,0.00041,,,,,,,,,,
24,A*,8,5.00E-05,,,,,,,,,,
24,A*,9,0.00056,,,,,,,,,,
24,A*,10,7.00E-05,,,,,,,,,,
24,A*,11,0.00047,,,,,,,,,,
24,A*,12,0.00021,,,,,,,,,,
24,A*,13,0.00087,,,,,,,,,,
24,A*,14,0.00016,,,,,,,,,,
24,A*,15,0.00038,,,,,,,,,,
24,A*,16,7.00E-05,,,,,,,,,,
24,A*,17,0.00022,,,,,,,,,,
24,A*,18,0.00032,,,,,,,,,,
24,A*,19,8.00E-05,,,,,,,,,,
24,A*,20,9.00E-05,,,,,,,,,,
24,A*,21,5.00E-05,,,,,,,,,,
24,A*,22,7.00E-05,,,,,,,,,,
24,A*,23,0.00011,,,,,,,,,,
24,A*,24,5.00E-05,,,,,,,,,,
24,A*,25,8.00E-05,,,,,,,,,,
24,A*,26,4.00E-05,,,,,,,,,,
25,A*,3,0.0001,,,,,,,,,,
25,A*,4,0.00015,,,,,,,,,,
25,A*,5,0.00019,,,,,,,,,,
25,A*,6,0.00032,,,,,,,,,,
25,A*,7,5.00E-05,,,,,,,,,,
25,A*,8,0.00031,,,,,,,,,,
25,A*,9,7.00E-05,,,,,,,,,,
25,A*,10,0.00056,,,,,,,,,,
25,A*,11,5.00E-05,,,,,,,,,,
25,A*,12,0.0007,,,,,,,,,,
25,A*,13,6.00E-05,,,,,,,,,,
25,A*,14,0.00023,,,,,,,,,,
25,A*,15,0.00026,,,,,,,,,,
25,A*,16,5.00E-05,,,,,,,,,,
25,A*,17,0.00014,,,,,,,,,,
26,A*,3,8.00E-05,,,,,,,,,,
26,A*,4,0.00016,,,,,,,,,,
26,A*,5,0.0004,,,,,,,,,,
26,A*,6,0.00053,,,,,,,,,,
26,A*,7,0.00053,,,,,,,,,,
